1 0.5 -0.5 0.0
2 0.5 0.5 0.0
3 -0.5 0.5 0.0
4 -0.5 -0.5 0.0
5 0.5 -0.5 1.0
6 0.5 0.5 1.0
7 -0.5 0.5 1.0
8 -0.5 -0.5 1.0
9 0.5 -1.0 -1.0
10 0.5 1.0 -1.0
11 -0.5 1.0 -1.0
12 -0.5 -1.0 -1.0
13 0.5 -1.0 0.0
14 0.5 1.0 0.0
15 -0.5 1.0 0.0
16 -0.5 -1.0 0.0
17 0.5 -1.5 -2.0
18 0.5 1.5 -2.0
19 -0.5 1.5 -2.0
20 -0.5 -1.5 -2.0
21 0.5 -1.5 -1.0
22 0.5 1.5 -1.0
23 -0.5 1.5 -1.0
24 -0.5 -1.5 -1.0
Faces:
1 2 6 5.
4 8 7 3.
5 6 7 8.
1 4 3 2.
2 3 7 6.
1 5 8 4.
9 10 14 13.
12 16 15 11.
13 14 15 16.
9 12 11 10.
10 11 15 14.
9 13 16 12.
17 18 22 21.
20 24 23 19.
21 22 23 24.
17 20 19 18.
18 19 23 22.
17 21 24 20.
